,word
0,
1,absorpt
2,acceler
3,accessori
4,accid
5,acid
6,actor
7,adjac
8,adjust
9,adventur
10,afftertast
11,aftereffect
12,afterthought
13,agenc
14,ago
15,agreement
16,aircushion
17,airman
18,airmen
19,airplan
20,airtight
21,alcohol
22,algebra
23,aluminum
24,ammonia
25,amplitud
26,amus
27,anesthet
28,angl
29,angri
30,ankl
31,answer
32,ant
33,anybodi
34,anyhow
35,apparatu
36,appendag
37,appl
38,applic
39,approxim
40,arbitr
41,arbitrari
42,arc
43,arch
44,area
45,argument
46,arithmet
47,arm
48,armi
49,arrang
50,asbesto
51,ash
52,asset
53,attack
54,attitud
55,autobu
56,automat
57,automobil
58,awak
59,awkward
60,axi
61,babi
62,backbon
63,backwood
64,bag
65,balconi
66,bale
67,ball
68,ballet
69,band
70,bang
71,bank
72,bankrupt
73,bar
74,bark
75,barrel
76,basin
77,basket
78,beak
79,beaker
80,beard
81,beat
82,bed
83,bee
84,beef
85,beer
86,beeswax
87,behavior
88,behind
89,belief
90,bell
91,belt
92,berri
93,bet
94,bill
95,biolog
96,bird
97,birefring
98,birthday
99,birthright
100,bit
101,bite
102,bitter
103,blackberri
104,blackbird
105,blackboard
106,blade
107,blood
108,bloodvessel
109,blue
110,bluebel
111,boat
112,boil
113,bomb
114,bone
115,bookkeep
116,boot
117,bottl
118,brain
119,brake
120,brass
121,brave
122,bread
123,breakfast
124,breast
125,breath
126,brick
127,bridg
128,bright
129,broker
130,brown
131,brush
132,brushwood
133,bubbl
134,bucket
135,bud
136,budget
137,builder
138,bulb
139,bunch
140,buoyanc
141,burial
142,burn
143,burner
144,burst
145,butter
146,buttercup
147,button
148,cafe
149,cake
150,calcul
151,calendar
152,camera
153,capac
154,card
155,cardboard
156,care
157,carefre
158,caretak
159,carpet
160,carriag
161,cart
162,carter
163,cartilag
164,catarrh
165,cave
166,caviti
167,cell
168,cent
169,centi
170,certif
171,chain
172,chalk
173,champagn
174,chauffeur
175,cheap
176,check
177,chees
178,chemic
179,chemist
180,chemistri
181,chest
182,chimney
183,chin
184,chocol
185,choru
186,church
187,cigarett
188,circl
189,circu
190,circuit
191,circumfer
192,citron
193,claw
