,word,Median_Frequency,Tau
0,as,0.8734951795677004,0.0
1,and,0.9525002473523568,0.003247736354792072
2,to,0.9331002701061576,0.04615758108307695
3,from,0.8370122364914139,0.05528065152295529
4,the,1.0,0.07618559835966368
5,a,0.9309148977731008,0.0733466601899526
6,which,0.806552391757388,0.06200701511004441
7,been,0.7644563811465304,0.059718561501737474
8,howev,0.7121486859453203,0.06564607913555844
9,sever,0.7046107875389334,0.06744620953879805
10,when,0.7519777646557877,0.08698796077542062
11,outsid,0.6103718557720683,0.06771526051503443
12,into,0.7470410125516115,0.091032227175208
13,of,0.9567204192891762,0.12555273829357155
14,by,0.8619998635374218,0.11350999329746266
15,variou,0.65581941524308,0.08661161649543826
16,they,0.7726734429154629,0.11788805958301148
17,while,0.7240391376917596,0.11118718607539564
18,an,0.8229303653613114,0.13028510342868382
19,anoth,0.676505240563901,0.10366869672992547
20,also,0.7921506148871851,0.1255442653819579
21,mani,0.7273372198665657,0.11632734909245025
22,continu,0.6834412186568093,0.11240226771814672
23,both,0.7129620393883336,0.11901059316443895
24,present,0.6714568789619263,0.11189285363634376
25,well,0.7151659409543752,0.12337033492509762
26,in,0.9485400629000008,0.17540970402989547
27,put,0.6198149415158506,0.10738627966257562
28,although,0.6733026408549783,0.1186095843514851
29,few,0.6366286290657164,0.11434676268218698
30,recent,0.6266674217465458,0.11247925031383306
31,still,0.6622869844288911,0.12071537114601613
32,hold,0.6286880677643719,0.11797688730251225
33,other,0.7716657872042962,0.15024836507019795
34,most,0.7338347045938851,0.1440403328989222
35,with,0.8593995087094473,0.17342248882362327
36,about,0.7270378806683906,0.14502564988251634
37,entir,0.6093807724576037,0.11844992996358734
38,have,0.7847669959392508,0.15888867327272022
39,becom,0.6836653186183089,0.14121895247815686
40,help,0.6698864839230555,0.14565790940009293
41,for,0.8708098155684085,0.2024568890443996
42,strong,0.5995844985399408,0.13353230859429582
43,follow,0.7235761496941706,0.1678407850226354
44,much,0.6633118170042173,0.1525822795404052
45,it,0.8532744082112667,0.20387957871848794
46,some,0.7396310281848028,0.17472913823137093
47,older,0.5651586021296858,0.1293373291762251
48,would,0.7378226622134684,0.1752762207825349
49,hand,0.6415468815664236,0.15090527635074774
50,sinc,0.7021861593532883,0.16779171066029858
51,almost,0.6079470799803528,0.14828870043001566
52,but,0.77306498428903,0.19447831696419848
53,make,0.7060817345400756,0.1760235736850299
54,special,0.6486928281189412,0.16232570471757407
55,one,0.7793206847913889,0.19928115340153602
56,all,0.7500450135737249,0.1921388547313861
57,gain,0.6119071288255251,0.15314368338416354
58,now,0.6751988747709825,0.17114508534174788
59,ha,0.7922174571355368,0.204925361205426
60,that,0.8597441193385131,0.2265496191585247
